OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
PZ-05-42,05-0043LC,050-009209 050-009210,4453 - 4489 CEMETERY RD; 4473 - 4485 CEMETARY RD,Hilliard Retail Center,4491 & 4471 Cemetery Rd,Sign variance,B-5,Denied 9/8/2005,n/a
PZ-05-43,05-0044LC,050-005623,6304 - 6356 SCIOTO DARBY RD,Darby Town Center,Darby Town Center Subarea B,Final development plan,B-5,09/08/2005,n/a
PZ-05-44,05-0045LR,050-004802 050-005430,4620 BRIXSHIRE DR,Weston Trail,Weston Trail Phase 4 subdivision,Lot split,R-2,10/13/2005,n/a
PZ-05-45,05-0046LC,120-000228 272-000056 272-000122 272-000172 272-008424 272-000007,,Buck et al properties,7147 Hayden Run Rd,PUD zoning development plan,Rural (County); SD & SRR (TWP),10/13/2005,2/13/06 (Ord 05-74)
PZ-05-46,05-0047LC,050-010488,3949 - 3977 TRUEMAN BL,Central Park Retail Center,3961 Trueman Blvd,Final developent plan modification,PUD (Soma),Withdrawn,n/a
,05-0048LC,050-007276,3883 PARK MILL RUN DR,CVS (Chili's site),3883 Park Mill Run Dr,PUD modification,PUD (Mill Run),09/08/2005,9/12/05 (05-R-38)
PZ-05-47,05-0049LC,050-009928,4211 TRUEMAN BL,Target,4211 Trueman Blvd,Sign variance,PUD (Soma),10/13/2005,n/a
PZ-05-48,05-0050LC,050-002321 050-002320 050-002319 050-002283 050-002380 050-002381 050-002382,4787 JEANNETTE RD; JEANNETTE RD; 4779 JEANNETTE RD; 4228 AVERY RD; 3715 LEAP RD,Lee & Arnold properties,4787 Jeanette Rd,Sketch plan,R-3 & R-4,Withdrawn,n/a
PZ-05-49,05-0051LC,050-000153,4095 MAIN ST,Better Image Salon,4095 Main St,Significant architectural changes,B-6,11/10/2005,n/a
PZ-05-50,05-0052LC,050-009208,4640 TRUEMAN BL,ADS,4640 Trueman Blvd,Sign variance,PUD (Soma),11/10/2005,n/a
PZ-05-51,05-0053LC,050-000007,4100 MAIN ST,Darrel Roberts property,4100 Main St,Significant architectural changes - demolition,B-6,11/10/2005,n/a
PZ-05-52,05-0054LC,050-000090,4120 MAIN ST,Hilliard Floral Design,4120 Main St,Significant architectural changes,B-6,11/10/2005,n/a
PZ-05-55,05-0055LC,050-002426,4555 CEMETERY RD,Ackerson Professional Building,4555 Cemetery Rd,Sign variance,B-5,11/10/2005,n/a
PZ-05-53,05-0056LR,050-005618 050-008208 050-005617,Not Found,Hampton Reserve,6640 Scioto Darby Rd,Final plat,PUD (Oakmont Partners II),12/08/2005,2/13/2006 (06-R-03)
PZ-05-54,05-0057LR,050-008208 050-005618,Not Found,Hampton Reserve Condos,6640 Scioto Darby Rd,Final development plan,PUD (Oakmont Partners II),12/08/2005,n/a
PZ-05-56,05-0058LC,050-000272,5093 CEMETERY RD,Jennifers' Beads Yarn & Whatever,5093 Cemetery Rd,Sign variance,B-2,12/08/2005,n/a
PZ-05-57,05-0059LC,050-2887,,Weaver Court Business Center,3834-4148 Weaver Ct South,Sign variance,M-5,12/08/2005,n/a
PZ-05-58,05-0060LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-05-60,05-0061LC,050-001543,3693 MAIN ST,Hilliard United Methodist Church,3691 Main St,Temporary Sign,B-3,12/08/2005,n/a
PZ-05-61,05-0062LR,050-009119,6154 LAMPTON POND DR,Lakewood PND,6154 Lampton Pond Dr,PND modification,PND (Lakewood),12/08/2005,3/13/2006 (06-R-09)
PZ-05-62,05-0063LC,050-010494,Not Found,DHJV LLC property (behind Pickups Plus),Cemetery Rd,CRCOD plan,B-5,12/08/2005,n/a
PZ-05-63,05-0064LC,050-007700,4577 LYMAN DR,Scioto Valley,4577 Lyman Dr,M-5 plan,M-5,12/08/2005,n/a
PZ-05-64,05-0065LC,050-009692,COSGRAY RD,YMCA,4515 Cosgray Rd,Final development plan,PUD (Patch),12/20/2005,n/a
PZ-05-65,05-0066LC,050-005623,6304 - 6356 SCIOTO DARBY RD,Darby Town Center,6324 Scioto Darby Rd,Conditional use; B-5 plan,B-5,12/20/2005,1/16/06 Service Committee
PZ-05-66,05-0067LC,050-009925,3931 - 3939 TRUEMAN BL,Walgreens,Soma PUD Subarea 1,Conditional use; final development plan; sign variance,PUD (Soma),12/20/2005,n/a
PZ-05-67,05-0068LC,050-008257,Not Found,Ansmil PUD,4701 Davidson Rd,PUD modification,PUD (Ansmil),12/20/2005,2/13/06 (06-R-07)
PZ-05-68,05-0069LR,050-009943 050-009944 050-009957,5100 HAYDEN RUN RD,Britton Central PUD,"Britton Central PUD Subareas A1, A2, A3",PUD modification,PUD (Britton Central),12/20/2005,2/27/06 (06-R-08)
PZ-05-69,05-0070LR,050-009943 050-009957,Not Found,Britton Central Condos,Britton Central PUD Subarea A1,Final development plan,PUD (Britton Central),12/20/2005,n/a
PZ-05-59,05-0071LR,050-009944,5100 HAYDEN RUN RD,Britton Central Condos,Britton Central PUD Subarea A3,Final development plan,PUD (Britton Central),12/20/2005,n/a
PZ-05-70,05-0072LC,050-008786 050-008787 050-008789,Not Found,Soma Company PUD,SW corner Davidson Rd & Trueman Blvd,PUD modification - setbacks,PUD (Soma),Denied 5/11/2006,n/a
PZ-05-71,05-0073LR,32 parcels,,Ansmil West,,Fence,PUD (Ansmil West),01/12/2006,n/a
PZ-05-72,05-0074LC,050-007276,3883 PARK MILL RUN DR,CVS,3883 Park Mill Run Dr,Sign variance,PUD (Mill Run),01/12/2006,n/a
PZ-05-73,05-0075LC,050-000340,5249 NORWICH ST,Edward Jones Investments,5249 Norwich St,Sign variance,B-6,01/12/2006,n/a
PZ-05-74,05-0076LC,050-009693,6055 WOODSVIEW WY,Patch property PUD,6055 Woodsview Way,Sign variance,PUD (Patch),01/12/2006,n/a
PZ-05-75,05-0077LR,050-002344,3703 LEAP RD,Campbell property,3703 Leap Rd,Deed transfer,R-2,01/12/2006,n/a
PZ-05-76,05-0078LC,050-009929,Not Found,Soma Subarea 3 Blazing Star Subdivision,Soma Subarea 3,Final plat (Blazing Star),PUD (Soma),01/12/2006,3/27/06 (06-R-16)
,05-0079LC (see case 06-0005LC),n/a,,Zoning Code Amendment (Sect. 1107 & 1123 athletic training & fine arts training),n/a,Zoning Code amendment,n/a,01/12/2006,3/13/06 (Ord 06-12)
,05-0080LC (see case 06-0006LC),050-009944,5100 HAYDEN RUN RD,Britton Central PUD Subarea B3,Britton Pkwy & Riggins Ct,Lot split,PUD (Britton Central),01/12/2006,n/a
PZ-06-1,06-0001LC,050-002867 060-003338,4232 CEMETERY RD,Speedway,4232 Cemetery Rd,CRCOD; Conditional use; Sign variance,M-5,02/09/2006,n/a
PZ-06-2,06-0002LC,050-008257,Not Found,Ansmil Condos & Clubhouse,Leap Rd & Davidson Rd,Final development plan,PUD (Ansmil),02/09/2006,n/a
PZ-06-3,06-0003LC,050-002816,4400 EDGEWYN AVE,Beaver Family LP II (fka Beaver Adhesives),4400 Edgewyn Ave,Conditional use,M-5,02/09/2006,n/a
PZ-06-5,06-0004LC,050-009925,3931 - 3939 TRUEMAN BL,Staples,3939 Trueman Blvd,Lot split; final development plan; sign variance,PUD (Soma),02/09/2006,n/a
PZ-05-77,06-0005LC (see case 05-0079LC),n/a,,Zoning Code Amendment (Sect. 1107 & 1123 athletic training & fine arts training),n/a,Zoning Code amendment,n/a,01/12/2006,3/13/06 (Ord 06-12)
PZ-05-78,06-0006LC (see case 05-0080LC),050-009944,5100 HAYDEN RUN RD,Britton Central PUD Subarea B3,Britton Pkwy & Riggins Ct,Lot split,PUD (Britton Central),01/12/2006,n/a
PZ-06-4,06-0007LR,050-008779,5690 WESTON TRAIL DR,Weston Trail,Leppert Rd,Sign variance,R-2,03/09/2006,n/a
PZ-06-6,06-0008LC,050-002895,3660 PARKWAY LN,Javaco,3660 Parkway Ln,Sign variance,M-5,Denied 4/13/2006,n/a
PZ-06-7,06-0009LC,050-002875,3700 PARKWAY LN,Sheaf Jentgen Co. LP,3700 Parkway Ln,Conditional use,M-5,03/09/2006,n/a
PZ-06-8,06-0010LC,050-000161 050-000025,4084 MAIN ST; 4076 MAIN ST,Dr. Krauss Dental,4084 Main St,Significant architectural changes,B-6,03/09/2006,n/a
PZ-06-9,06-0011LC,050-002164,3685 MAIN ST,McDonald's,3685 Main St,Sign variance,B-2,03/09/2006,n/a
PZ-06-10,06-0012LC,050-009944 050-009943 050-009957,5100 HAYDEN RUN RD,Britton Central PUD,Riggins Rd,Final Plat,PUD (Britton Central),03/09/2006,3/27/06 (06-R-17)
PZ-06-11,06-0013LC,050-003335,4770 NORTHWEST PW,BRMKO property,4770 Northwest Pkwy,Conditional use,M-5,03/09/2006,n/a
PZ-06-12,06-0014LC,050-003485,3940 LYMAN DR,Aquatic Adventures,3940 Lyman Dr,M-5 plan; conditional use; sign variance,M-5,4/13/06 (Sign variance on 6/27/06),n/a
PZ-06-13,06-0015LC,050-010488,3949 - 3977 TRUEMAN BL,Carrabba's Italian Grill,3963 Trueman Blvd,Sign variance,PUD (Soma),04/13/2006,n/a
PZ-06-14,06-0016LC,050-010127,4507 CEMETERY RD,Avery Road Animal Hospital,4507 Cemetery Rd,Sign variance,B-5,04/13/2006,n/a
PZ-06-15,06-0017LC,050-010511,6364 SCIOTO DARBY RD,Chase Bank,6346 Scioto Darby Rd,Sign variance,B-5,04/13/2006,n/a
PZ-06-16,06-0018LC,050-000096,4056 MAIN ST,Chase Bank,4056 Main St,Architectural changes; Sign variance,B-6,04/13/2006,n/a
PZ-06-17,06-0019LC,050-004798,5522 N CENTER ST,Lindemann LP property,5522 Center St,Lot split; conditional use,B-6,04/13/2006,n/a
PZ-06-18,06-0020LC,050-000147,5231 NORWICH ST,Peter & Linda Johns property,5231 Norwich St,Architectural changes,B-6,05/11/2006,n/a
PZ-06-19,06-0021LC,050-009944,5100 HAYDEN RUN RD,Britton Central PUD Subarea B5,Riggins Ct,Lot split,PUD (Britton Central),04/13/2006,n/a
PZ-06-20,06-0022LC,050-002890 050-005426 050-005427 050-005428,4143 - 4147 WEAVER CT; NORTHWEST PW REAR,American Water Services,4143 Weaver Court South,M-5 plan,M-5,06/27/2006,n/a
PZ-06-21,06-0023LC,050-001326,3670 LACON RD,Eramo & Sons,3670 Lacon Rd,M-5 plan; sign variance,M-5,04/13/2006,n/a
PZ-06-22,06-0024LC,050-000210,Not Found,Scherman property,5289 Franklin St,Rezoning,M-2,05/11/2006,9/11/06 (Ord 06-49)
PZ-06-23,06-0025LC,050-003196,4011 - 4015 WAYNE ST,Japanese Automotive Service,4011 Wayne St,Conditional use; Significant architectural changes,B-6,05/11/2006,n/a
PZ-06-24,06-0026LR,050-001922,5863 SCIOTO DARBY RD,Wellington Village,5863 Scioto Darby Rd,Temporary Sign,R-6,05/11/2006,n/a
PZ-06-25,06-0027LC,050-007017,3747 PARK MILL RUN DR,Honda Northwest,3747 Park Mill Run Dr,Sign variance,PUD (Mill Run),Denied 5/11/2006,n/a
PZ-06-26,06-0028LR,050-008358,Not Found,Hoffman Farms Condos (Brickstone Green),Cosgray Rd,Lot split,PUD (Hoffman Farms),04/13/2006,n/a
PZ-06-27,06-0029LC,052-000114,,Buck property,Hayden Run Rd,Lot split,PUD (Buck et al PUD),04/13/2006,n/a
PZ-06-28,06-0030LR,052-000116 052-000113,,Smith properties,Baldwin Rd,Lot split,PUD (Buck et al PUD),04/13/2006,n/a
PZ-06-29,06-0031LC,050-003043,4530 GENEROSITY WY,Soma Company properties,,Lot split,PUD (Soma),04/13/2006,n/a
PZ-06-30,06-0032LC,050-009383,3690 - 3720 LACON RD,Enterprise Rent-a-car,3700 Lacon Rd,Sign variance,M-5,06/08/2006,n/a
PZ-06-31,06-0033LR,050-009693,6055 WOODSVIEW WY,Village at Homestead,4301 Cosgray Rd,Temporary Sign,PUD (Patch),Withdrawn,n/a
PZ-06-32,06-0034LR,050-008665,Not Found,Estates at Hoffman Farms,6070 Jeffrelyn Dr,Temporary Sign,PND (Estates at Hoffman Farms),06/27/2011,n/a
PZ-06-33,06-0035LC,050-007274,3641 - 3681 FISHINGER BL,USPG Portfolio One LLC,3641-3681 Fishinger Blvd,Sign variance,PUD (Mill Run),Denied 6/8/2006,n/a
PZ-06-34,06-0036LC,050-003337 050-004483,4658 - 4704 CEMETERY RD; 4714 - 4740 CEMETERY RD,Hilliard Square Shopping Center,4714 Cemetery Rd,Sign variance,B-2,Withdrawn,n/a
PZ-06-35,06-0037LC,050-002423,4625 CEMETERY RD,Keller Williams Realty,4625 Cemetery Rd,Sign variance,L-B-5,06/08/2006,n/a
PZ-06-36,06-0038LC,050-002871,4731 - 4751 NORTHWEST PW,Kerbler Builders,3649 Northwest Pkwy,Conditional use,M-5,06/08/2006,n/a
PZ-06-37,06-0039LC,050-002880,3649 PARKWAY LN,Laserflex,3649 Parkway Ln,M-5 Plan modification,M-5,06/08/2006,n/a
PZ-06-38,06-0040LR,050-008257,Not Found,Ansmil Condos,4701 Davidson Rd,Lot split,PUD (Ansmil),06/08/2006,n/a
PZ-06-39,06-0041LC,050-002981 050-000283,3854 - 3870 MAIN ST,Dippin' Dots,Main St,Conditional use; sign variance; temporary sign,B-6,06/27/2006,n/a
PZ-06-40,06-0042LC,050-010214,5550 BRITTON PW,BMW Financial Services,5550 Britton Pkwy,Sign variance,PUD (Britton Central),06/08/2006,n/a
PZ-06-41,06-0043LC,050-003335,4770 NORTHWEST PW,BRMKO property,4770 Northwest Pkwy,Conditional use,M-5,07/13/2006,n/a
PZ-06-42,06-0044LR,050-003184,3940 - 3972 MOUNDVIEW RD,Horizons,3940-3972 Moundview Rd,Temporary Sign,R-6,07/13/2006,n/a
PZ-06-43,06-0045LC,050-000161,4084 MAIN ST,Dr. Krauss Dental,4084 Main St,Significant architectural changes,B-6,07/13/2006,n/a
PZ-06-44,06-0046LC,050-000149,4127 MAIN ST,Pic Again,4127 Main St,Significant architectural changes,B-6,07/13/2006,n/a
PZ-06-45,06-0047LC,050-000066,4065 MAIN ST,County Cork Irish Pub (Yard Club),4065 Main St,Significant architectural changes,B-6,07/13/2006,n/a
PZ-06-46,06-0048LC,050-003645,3450 PARKWAY LN,Extra Space Storage,3450 Parkway Ln,Sign variance,M-5,08/10/2006,n/a
PZ-06-47,06-0049LC,050-000147,5231 NORWICH ST,Image Professionals,5231 Norwich St,Shared parking plan,B-6,07/13/2006,n/a
PZ-06-48,06-0050LC,050-008257,Not Found,Ansmil PUD,,Sign variance,PUD (Ansmil),Withdrawn,n/a
PZ-06-49,06-0051LC,050-003727,4105 LYMAN DR,All Seasons Spas,4105 Lyman Dr,Conditional use,M-5,07/13/2006,n/a
PZ-06-51,06-0052LC,050-002867 050-003338,4232 CEMETERY RD; 4232 HILLIARD CEMETER RD,Speedway,4232 Cemetery Rd,CRCOD plan,M-5,08/10/2006,n/a
PZ-06-50,06-0053LC,050-010536,5500 BRITTON PW,Credit Union of Ohio,Britton Pkwy & Riggins Ct,Final development plan,PUD (Britton Central),09/26/2006,n/a
PZ-06-52,06-0054LC,050-010592,3775 - 3779 TRUEMAN CT,Cardinal Orthopaedic Institute,3777 Trueman Ct,Sign variance,PUD (Soma),08/10/2006,n/a
PZ-06-53,06-0055LC,050-005623,6304 - 6356 SCIOTO DARBY RD,New Grounds Coffee House,6318 Scioto Darby Rd,Sign variance,B-5,Denied 8/10/2006,n/a
PZ-06-54,06-0056LC,050-002092,5499 CONSTITUTION BL,Ten Pin Alley,5499 Constitution Blvd,Sign variance,B-2,Withdrawn,n/a
PZ-06-55,06-0057LC,050-003028,BRITTON PW,Enchanted Care Learning Center Building #3,4388 Davidson Rd,Final development plan Conditional use,PUD (Britton Farms),8/10/2006 (Conditional use 9/14/06),n/a
PZ-06-56,06-0058LR,050-008358,Not Found,Brickstone Green Condos,4258 Cosgray Rd,Final Plat,PUD (Hoffman Farms),08/10/2006,8/28/06 (06-R-32)
PZ-06-57,06-0059LR,050-008383,Not Found,Trails Edge Condos,Cosgray Rd,Final Plat,PUD (Trails Edge),08/10/2006,1/27/07 (06-R-33)
PZ-06-58,06-0060LC,050-007274,3641 - 3681 FISHINGER BL,Tropical Bistro,3641 Fishinger Blvd,Sign variance,PUD (Mill Run),Denied 8/10/2006,n/a
PZ-06-59,06-0061LR,050-010599 050-008257,Not Found,Tremont Club,Ansmil PUD,Final Plat,PUD (Ansmil),09/14/2006,1/15/07 (06-R-40)
PZ-06-60,06-0062LC,050-009807,Not Found,Hilliard City School District,Between Cosgray Rd & Leppert Rd,Lot split,S-1,09/26/2006,n/a
PZ-06-61,06-0063LR,050-002378,3637 - 3643 LEAP RD,Creative Housing,3641 Leap Rd,Conditional use,R-4,10/12/2006,n/a
PZ-06-62,06-0064LC,050-004483,4714 - 4740 CEMETERY RD,Hilliard Square Shopping Center,Cemetery Rd,Sign variance,B-2,09/26/2006,n/a
PZ-06-63,06-0065LC,050-002843 050-002844,3800 - 4363 EDGEWYN DR,George Thomas Contractors Inc.,Edgewyn Ave,M-5 Plan,M-5,09/14/2006,n/a
PZ-06-64,06-0066LR,050-005715 050-005716 050-005717 050-010510,5667 DAVIDSON RD; 5659 DAVIDSON RD; 5649 DAVIDSON RD; 4470 LEPPERT RD,Nirshcel et al,Weston Trail,Lot split,R-2 & R-3,09/26/2006,n/a
PZ-06-65,06-0067LC,050-000203,4009 - 4013 MAIN ST,Cruise Quarters & Tours,4013 Main St,Sign variance,B-6,09/14/2006,n/a
PZ-06-66,06-0068LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-06-67,06-0069LC,050-000951,5399 FRANKLIN ST,Mulch King,5399 Franklin St,Conditional use; sign variance,,Signage 9/26/06; Conditional use 11/9/06,n/a
PZ-06-68,06-0070LC,050-003206,4595 TRUEMAN BL,Ecole Maison,4635 Trueman Blvd,Conditional use,B-3,Indoor 9/14/06; Playground 10/12/06,n/a
PZ-06-69,06-0071LC,050-005623,6304 - 6356 SCIOTO DARBY RD,Darby Town Center,6304-6358 Scioto Darby Rd,Sign variance,B-5,09/26/2006,n/a
PZ-06-70,06-0072LC,050-003299,4555 LYMAN DR,Zaner-Blosser (Highlights for Children),4555 Lyman Dr,Sign variance,M-5,10/12/2006,n/a
PZ-06-71,06-0073LC,050-002825,3840 LACON RD,John Schmucki trust,3840 Lacon Rd,M-5 Plan modification,M-5,10/12/2006,n/a
PZ-06-72,06-0074LC,050-002885 050-000286 050-000287,5067 CEMETERY RD; 5079 CEMETERY RD; CEMETERY RD,Fifth Third Bank,5067-5085 Cemetery Rd,CRCOD plan; sign variance; temporary sign,B-1,11/09/2006,n/a
PZ-06-73,06-0075LR,050-002081,HERITAGE CLUB DR REAR,Heritage Lakes PUD,,Lot split,PUD (Heritage Lakes),09/14/2006,n/a
PZ-06-74,06-0076LC,050-003485,3940 LYMAN DR,Aquatic Adventures,3940 Lyman Dr,Sign variance,M-5,Denied 10/12/2006,n/a
PZ-06-75,06-0077LC,050-000161,4084 MAIN ST,Dr. Krauss Dental,4084 Main St,Sign variance,B-6,09/26/2006,n/a
PZ-06-76,06-0078LC,050-001326 050-002844,3670 LACON RD,Eramo & Sons George Thomas Contractors Inc.,3670 Lacon Rd 3800 Edgewyn Ave,Lot split,M-5,11/09/2006,n/a
PZ-06-77,06-0079LR,050-008257,Not Found,Ansmil PUD Subarea A1,,Lot split,PUD (Ansmil),09/14/2006,n/a
PZ-06-78,06-0080LC,050-002860,3535 PARKWAY LN,W.W. Williams Co.,3535 Parkway Ln,Sign variance,M-5,12/14/2006,n/a
PZ-06-79,06-0081LC,050-000237,COLUMBIA ST,AT&T (Ameritech),4055 Columbia St,Sign variance,B-6,11/09/2006,n/a
PZ-06-80,06-0082LC,050-010597,4660 TRUEMAN BL,Altercare of Hilliard,Soma PUD Subarea 8 & 10,PUD modification; Final development plan,PUD (Soma),02/08/2007,10/9/07 (07-R-32)
PZ-06-81,06-0083LR,050-002841,4755 JEANETTE RD,Shining Light Baptist Church,4755 Jeanette Rd,Sign variance,R-3,Withdrawn,n/a
PZ-06-83,06-0084LR,050-009693,6055 WOODSVIEW WY,Village at Homestead (Rockford Homes),4509 Cosgray Rd,Sign variance,PUD (Patch),11/09/2006,n/a
PZ-06-82,06-0085LC,n/a,,Capital Improvements Program (2007-2011),n/a,n/a,n/a,11/09/2006,
PZ-06-84,06-0086LC,050-003032,4770 BRITTON PW,MCI,5000 Britton Pkwy,Sign variance,B-3,12/14/2006,n/a
PZ-06-85,06-0087LC,050-002884,3550 PARKWAY LN,City Electric Supply,3550 Parkway Ln,Conditional use,M-5,11/09/2006,n/a
PZ-06-86,06-0088LC,050-000049,3840 - 3880 LATTIMER ST,Columbus Martial Arts Center,3864 Lattimer St,Conditional use,B-2,12/18/2006,n/a
PZ-06-87,06-0089LC,050-010127,4507 CEMETERY RD,Avery Road Animal Hospital,4507 Cemetery Rd,Sign variance,B-5,12/14/2006,n/a
PZ-06-88,06-0090LC,050-000114,4098 MAIN ST,Perdatum Inc.,4098 Main St,Significant architectural changes,B-6,12/18/2006,n/a
PZ-06-89,06-0091LC,050-003206,4595 TRUEMAN BL,Four Seasons,4635 Trueman Blvd,Conditional use,B-3,02/08/2007,n/a
PZ-06-90,06-0092LC,050-000260 050-000244 050-000269 050-000255 050-000261,5123 NORWICH ST; LATTIMER ST; CENTRE ST; CEMETERY RD,Norwich Ltd.,5123 Norwich St,Significant architectural changes,B-6,04/12/2007,n/a
PZ-06-91,06-0093LC,050-002165,4961 CEMETERY RD,Delegated Nursing Training,4961 Cemetery Rd,Conditional use,B-3,02/08/2007,n/a
,06-0094LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-06-92,06-0095LC,050-003190 050-005144,LEAP RD; 4656 CEMETERY RD,Kroger,4656 Cemetery Rd,CRCOD plan,B-2,Withdrawn 7/9/07,n/a
PZ-06-93,06-0096LC,050-003220 050-003219 050-003399,3820 PARKWAY LN; PARKWAY LN,Buckeye Nissan,3820 Parkway Ln,M-5 Plan,M-5,12/18/2006,n/a
PZ-06-94,06-0097LC,050-008254 thru 050-008259,4501 DAVIDSON RD; 4444 - 4448 LEAP RD,Erickson Retirement Community,Ansmil Subarea E1,PUD modification,PUD (Ansmil),02/08/2007,3/26/07 (07-R-08)
PZ-06-95,06-0098LC,050-008254 thru 050-008259,4501 DAVIDSON RD; 4444 - 4448 LEAP RD,Erickson Retirement Community,Ansmil Subarea E1,Final development plan,PUD (Ansmil),02/08/2007,3/26/07 (07-R-08)
PZ-06-96,06-0099LC,050-010488,3949 - 3977 TRUEMAN BL,Carrabba's Italian Grill,3949 Trueman Blvd,Temporary Sign,PUD (Soma),Withdrawn,n/a
PZ-06-97,06-0100LC,050-001543,3693 MAIN ST,Eurotech,3697 Main St,Conditional use,B-2,01/11/2007,n/a
PZ-06-98,06-0101LC,050-000333,5252 NORWICH ST,Western Executive Photography,5252 Norwich St,Significant architectural changes,B-6,01/11/2007,n/a
PZ-06-99,06-0102LR,050-002344 050-002393,3703 LEAP RD; 3711 LEAP RD,Zelma Campbell property Tracy Young property,3703 Leap Rd 3711 Leap Rd,Lot split,R-2,01/11/2007,n/a
,06-00103LC,050-000002,4115 MAIN ST,Hilliard Community Music School,4115 Main St,Significant architectural changes,B-6,01/11/2007,n/a
PZ-06-101,06-0104LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-06-102,06-0105LC,050-000288,5105 CEMETERY RD,Stanley property,5105 Cemetery Rd,Lot split,B-1,12/18/2006,n/a
PZ-07-1,07-0001LR,050-009962,RESERVE A,Silverton Farms,Wilcox Rd & Noor Dr,PND modification,PND (AI Limited),04/12/2007,n/a
PZ-07-2,07-0002LC,050-003220; 050-003219; 050-003399,3820 PARKWAY LN; PARKWAY LN,Buckeye Nissan,3820 Parkway Ln,Sign variance,M-5,02/27/2007,n/a
PZ-07-3,07-0003LC,050-010592,3775 - 3779 TRUEMAN CT,Cardinal Orthopaedic Institute,3777 Trueman Ct,Sign variance,PUD (Soma),04/12/2007,n/a
PZ-07-4,07-0004LR,050-010590,Not Found,Hampton Reserve Condos,Streambank Dr,PUD modification,PUD (Oakmont Partners II),02/27/2007,4/9/2007 (07-R-11)
PZ-07-5,07-0005LR,050-008358,Not Found,Brickstone Green Condos,Cosgray Rd,PUD modification,PUD (Hoffman Farms),02/27/2007,4/9/07 (07-R-12)
PZ-07-6,07-0006LC,050-000122; 050-000013,3900 MAIN ST; 3950 MAIN ST,Dairy Queen,3900 Main St,Sign variance,B-3,Withdrawn,n/a
PZ-07-7,07-0007LC,050-003485,3940 LYMAN DR,Aquatic Adventures,3940 Lyman St,Sign variance,M-5,03/08/2007,n/a
PZ-07-8,07-0008LC,050-002838,4100 COLUMBIA ST,Norwich Township Fire Department,4162 Columbia St,Lot split; parking lot expansion,S-1 & B-6,03/08/2007,n/a
PZ-07-9,07-0009LC,050-004080,3455 MILL RUN DR,One Mill Run,3455 Mill Run Dr,Temporary Sign,PUD (Mill Run),03/08/2007,n/a
PZ-07-10,07-0010LC,050-003298 050-003296,ANSON DR; 4078 - 4140 ANSON DR,Rainbow Development Corp.,4078-4180 Anson Dr,Conditional use,M-5,03/08/2007,n/a
PZ-07-11,07-0011LC,050-003181 050-003300,4252 LYMAN DR; LYMAN DR,Pet Palace,Lyman Dr,"Conditional use, Sign variance",M-5,03/08/2007,n/a
PZ-07-12,07-0012LC,050-010600 050-010601,Not Found,AHNH Physicians Realty LLC,3823-3845 Trueman Ct,Sign variance,PUD (Soma),03/08/2007,n/a
PZ-07-13,07-0013LC,050-000049,3840 - 3880 LATTIMER ST,Lattimer Square,Lattimer St,Sign variance,B-2,04/12/2007,n/a
,07-0014LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-07-14,07-0015LC,,,City Electric Supply,5550 Parkway Ln,Sign variance,M-5,04/12/2007,n/a
PZ-07-15,07-0016LC,,,Hilliard Care Center,Tremont Club Dr @ Davidson Rd,Final development plan,PUD (Ansmil),04/12/2007,n/a
PZ-07-16,07-0017LC,050-002833,4245 CEMETERY RD,Wendy's,4245 Cemetery Rd,CRCOD plan & Sign variance,M-5,05/10/2007,n/a
PZ-07-17,07-0018LC,050-000286,5079 CEMETERY RD,Fifth Third Bank,5079 Cemetery Rd,Sign variance,B-1,05/10/2007,n/a
,07-0019LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
